Date,sigma401k Aggressive ,Aggressive Buy and Hold 
7/2/2007,-0.026,-0.026
8/1/2007,0.014,0.014
9/4/2007,0.032,0.032
10/1/2007,0.015,0.015
11/1/2007,-0.035,-0.035
12/3/2007,-0.009,-0.009
1/2/2008,0.009,-0.051
2/1/2008,-0.004,-0.030
3/3/2008,-0.002,-0.005
4/1/2008,0.004,0.041
5/1/2008,-0.006,0.008
6/2/2008,-0.025,-0.077
7/1/2008,0.002,-0.008
8/1/2008,0.014,0.012
9/2/2008,-0.021,-0.081
10/1/2008,-0.060,-0.154
11/3/2008,0.056,-0.056
12/1/2008,0.034,0.011
1/2/2009,-0.056,-0.081
2/2/2009,-0.041,-0.100
3/2/2009,0.042,0.079
4/1/2009,-0.002,0.080
5/1/2009,-0.012,0.044
6/1/2009,0.012,0.002
7/1/2009,0.066,0.066
8/3/2009,0.033,0.033
9/1/2009,0.034,0.034
10/1/2009,-0.020,-0.020
11/2/2009,0.053,0.053
12/1/2009,0.012,0.012
1/4/2010,-0.032,-0.032
2/1/2010,0.027,0.027
3/1/2010,0.051,0.051
4/1/2010,0.015,0.015
5/3/2010,-0.070,-0.070
6/1/2010,-0.045,-0.045
7/1/2010,0.021,0.062
8/2/2010,0.013,-0.039
9/1/2010,0.030,0.079
10/1/2010,0.032,0.032
11/1/2010,-0.005,-0.005
12/1/2010,0.056,0.056
1/3/2011,0.020,0.020
2/1/2011,0.030,0.030
3/1/2011,-0.001,-0.001
4/1/2011,0.027,0.027
5/2/2011,-0.009,-0.009
6/1/2011,-0.018,-0.018
7/1/2011,0.023,-0.015
8/1/2011,0.024,-0.045
9/1/2011,0.002,-0.061
10/3/2011,0.020,0.095
11/1/2011,-0.007,-0.005
12/1/2011,0.018,0.010
1/3/2012,0.015,0.040
2/1/2012,0.003,0.035
3/1/2012,-0.001,0.027
4/2/2012,-0.004,-0.004
5/1/2012,-0.051,-0.051
6/1/2012,0.034,0.034
7/2/2012,0.008,0.012
8/1/2012,0.006,0.018
9/4/2012,0.004,0.021
10/1/2012,-0.019,-0.019
11/1/2012,0.004,0.004
12/3/2012,0.005,0.005
1/2/2013,0.043,0.043
2/1/2013,0.012,0.012
3/1/2013,0.033,0.033
4/1/2013,0.018,0.018
5/1/2013,0.015,0.015
6/3/2013,-0.017,-0.017
7/1/2013,0.043,0.043
8/1/2013,-0.028,-0.028
9/3/2013,0.028,0.028
10/1/2013,0.040,0.040
11/1/2013,0.024,0.024
12/2/2013,0.019,0.019
1/2/2014,-0.028,-0.028
2/3/2014,0.039,0.039
3/3/2014,0.005,0.005
4/1/2014,0.007,0.007
5/1/2014,0.020,0.020
6/2/2014,0.017,0.017
7/1/2014,-0.013,-0.013
8/1/2014,0.036,0.036
9/2/2014,-0.014,-0.014
10/1/2014,0.022,0.022
11/3/2014,0.024,0.024
12/1/2014,-0.003,-0.003
1/2/2015,-0.023,-0.023
2/2/2015,0.046,0.046
3/2/2015,-0.014,-0.014
4/1/2015,0.006,0.006
5/1/2015,0.009,0.009
6/1/2015,-0.021,-0.021
7/1/2015,0.020,0.020
8/3/2015,-0.056,-0.056
9/1/2015,-0.022,-0.022
10/1/2015,0.017,0.074
11/2/2015,0.005,0.001
12/1/2015,-0.012,-0.017
1/4/2016,-0.043,-0.043
2/1/2016,-0.002,-0.002
3/1/2016,0.060,0.060
4/1/2016,0.002,0.002
5/2/2016,0.014,0.014
6/1/2016,0.005,0.005
7/1/2016,0.032,0.032
8/1/2016,-0.002,-0.002
9/1/2016,-0.002,-0.002
10/3/2016,-0.019,-0.019
11/1/2016,0.025,0.025
12/1/2016,0.017,0.017
1/3/2017,0.016,0.016
2/1/2017,0.034,0.034
3/1/2017,0.001,0.001
4/3/2017,0.009,0.009
5/1/2017,0.012,0.012
6/1/2017,0.003,0.003
